,Text
263,My 5 months old dog used to love this food. For some reason he doesn't like it anymore. It has very good ingredients. I wish he would eat it because I know it's good for him.
264,I purchase this product for the office. The clients like it and it is not too over-powering. I appreciate the savings through Subscribe & Save!
265,This is the best cheese topping in the world! Great for putting on your popcorn and your favorite pasta dish. It has become nearly impossible to find this cheese topping in supermarkets. Thank goodness we have Amazon.com.
266,"Ordered these for a bowling party & they are very cute. The party is this weekend, so I am really excited! I have no idea how they taste, but they look GREAT! :-)"
267,"I was originally hesitant to try these given the mixed reviews. I really love buckwheat and use it in a variety of different ways including as a hot morning cereal, fresh ground for homemade bread and  pancakes (nothing beats fresh ground buckwheat flour made into pancakes with 100 wholesome maple syrup) and even in a type of pilaf. After re-reading a few things it appears there are some misconceptions about this product...<br /><br />1. - This is indeed raw and whole grain groats. If you are searching for roasted/toasted buckwheat you need to keep searching. If you are searching for partially ground, flaked, rolled, etc you also need to keep looking. For those that are familiar with Kasha - this is not roasted nor partially broken...when cooked it will turn into little round balls rather like tapioca.<br /><br />2. Not mushy...try this a few times to get the cooking correct. I eat this for breakfast with a little honey several times  per week and it is excellent. No gluten, lots of nutrition including most essential amino acids, very little fat/calories...it's nearly the perfect food. Bring the water to a boil, put in the groats, reduce the heat and allow to simmer for a few minutes. Keep an eye on it - the buckwheat will ""puff"" and become soft. After a few attempts you will learn to recognize the preferred consistency that suites you best.<br /><br />3. Superb nutrition & versatile. Buckwheat should be considered a super-food it's so nutritious without all the other garbage. It's also incredibly versatile - from a hot breakfast cereal (boil and use a touch of honey) to fresh ground for bread (bread makers, use about 1:4 ratio with fresh ground whole wheat...since this has no gluten the wheat will allow it to rise while the buckwheat adds essential nutrients the wheat lacks. For those with a gluten intolerance, buckwheat is a superb alternative and can be used to create bread without any gluten but you will need to use an enhancer to help it rise."
268,"This is a nice, soothing tea when it's hot, but it's even better when brewed over a large plastic cup filled with ice.  Add some sugar, and you've got a minty refreshing drink that really hits the spot on hot days.  I'm definitely getting the 50 count next time around."
269,"To start I should say I HATE Almonds. I don't dislike them, I hate them (and I have tried all manner of almonds, from raw to various flavors). A former co-worker brought a huge jug of these to work and urged me to give one a try. Like the stubborn child who refuses to eat her veggies, I popped one in my mouth, with a large glass of water in hand to wash down what I expected to be the awful (to me) flavor. I was shocked to find I not only didn't object to these, but became hooked on them in short order.<br /><br />I have been unable to find this flavor in the mega jug my co-worked purchased at a big box retailer over a year ago and was pleased to find this option on Amazon for a price lower than my local grogery store. I wish that big jug were available, but these smaller cans probably assure a fresher product.<br /><br />I will add, that I am a big fan of vinegar, but am not a big fan of salt and vinegar chips. These almonds have an excellent balance of flavor."
270,I make protein shakes that require Matcha tea as one of their ingredients..it's pricey<br />but this tea is nicely packed in a storage tin and well priced too.
271,"This is a staple in my house at all times. I use it as a meal replacement since i try to eat 4-5 small meals a day at about 250 calories, which is what Orgain has. It also has an antioxidant berry blend and a greens blend mixed in which is unlike any other protein drink. But the best part is it tastes like chocolate milk and i always want to drink it. AMAZING!! Chocolate fudge is the best flavor by the way. No need to even go to the vanilla or mocha since the chocolate is so delish!"
272,"At any price this is an outstanding, smooth, wonderfully rosted coffee, without the bitter, or burnt overtones of some coffees.  One of the best coffees out there (and I drink six to 8 cups a day and have tried LOTS of different coffees)."
273,"I would like to share with you who are contemplating Mr. Trivedi's products, I was diagnosed with are rare form of acid reflux. I was advised not to drink anything carbonated and a whole list of no no,s.  About 3 months ago I found out about this incredible water, since then that is all I drink.  I had the most amazing results, not only easing my acid reflux,but also drinking the water brings a sense of calmness and almost at the same time a felling of complete happiness and tolerance of which I am not especially noted for.  At the 11-11-11 retreat one of the wonderful staff members remembered me from the center in Soho, she remarked how different and calmer I was compared to 2 months ago. I know there will always be skeptics, I am ready for them.<br /><br />Thank you, Mr. Trivedi"
274,"When I became gluten sensitive, I most missed baking from scratch. These are great; my friends can't tell the difference. Also try the blonde brownies. Of all the Namaste mixes, both brownies freeze very well when cut in small bite size cubes for when you want a little cheat eat ! Or they can be frozen in a good size square if you are young enough to not fret over the calories in a larger portion."
275,These shortbread cookies are little drops of heaven.  Have you ever noticed that smaller food seems to taste better?  One pouch is one carb and very satisfying.  No meaasuring is always good too.
276,These are by far the most addictive sunflower seeds in the history of mankind.  I can't get enough of these things...seriously!
277,This is the KIND bar that made me look into all the varieties I could find. It's healthful and delicious and not too sweet. It's a chocoholic's dream
278,"Kellogg's Crunchy Nut cereal doesn't come packaged as a kids' breakfast item, but it sure was a hit with the under-10 crowd in my house.  One bowl revealed the reason why:  it bears a striking resemblance to Frosted Flakes.  The crunchy nut aspect of the cereal comes from tiny nut bits on the flakes themselves, not from any sort of separate clusters.  For that reason, their appearance is actually hit-or-miss from bite to bite.  However, that sweetness is in every spoonful, and if you're not searching for a lot of that flavor, then this may not be the cereal for you.  It's strange to me that the box gives the impression of a wholesome, possibly even healthy cereal and yet the taste is pure kids' Saturday morning treat."
279,I had a storage tower that held 24 capsules and a storage rack that held<br />several boxes of coffee capsules.  Then I saw this device and decided<br />that it was the best alternative because I could stack my Bunn coffee maker<br />and my Keurig coffee maker on top of the storage drawers and not lose counter<br />space.  Works absolutely great.  Wish I had seen this first and saved the<br />money I spent for the other devices.
280,"These are OK for British Tea Biscuits. The kind your Auntie Maude eats at 4pm with her cup of tea. Not too sweet. Not too much fruit. Not much taste or texture. Nothing to over stimulate or even partially stimulate the senses. Just something to eat mindlessly to curb a small appetite until dinner.<br /><br />I really wouldn't call these cookies, or at least not red-blooded, proud-to-be-an-American cookies. They are certainly not French or Italian or even Greek cookies, either. Newtons Fruit Thins are the wan, oat-y things you get served on a small plate in a London tea room right before the check comes. I have nothing against the UK, but other than Scottish shortbread, I can take or leave their ""sweet biscuits"".<br /><br />Now, these Newtons Fruit Thins are not particularly bad for you. In fact they have some whole grain flour added to the enriched, unbleached wheat and rice flours. There is soy lecithin for protein. The mild flavoring comes from bits of figs, raisins, honey, sugar and a tiny, tiny bit of cinnamon. Three of them are 130 calories. I got bored at two.<br /><br />In the classic 1963 movie comedy ""Come Blow Your Horn"", the aging playboy played by Frank Sinatra warns his mooching younger brother to ""Stay away from my Fig Newtons!""<br /><br />Fig Newtons! Now that's a cookie I can get excited about!"
281,This is a WONDERFUL mocha sauce. I purchase for my lattes but my daughter adds it to her hot chocolate...
282,This product was very easy to prepare; and it tasted very much like a quality chocolate cake.  I was very happy with it.
283,Awesome flavors!  I would definately grab the butt rub and put it on some big ole pork again.  I love that it's not so salty.
284,"Oddly this trap is catching all flies...no yellow jackets. I know they are around..is the bait the same as the fly catchers?<br /><br />So, like my review of the fly catchers-this trap will STINK from feet away when half full like feces so you wont want it around sitting/food areas like patios. We love that they are disposable but DOUBLE BAG it first or your trash can will reak. Even when they catch bees, traps do smell badly. So we expected this. Why we switched to disposable vs re-use.<br /><br />Easy to use, good price. They dont catch the good bees like Bumbles."
285,Jet Fuel is our favorite of all the Coffee People dark roasts.  Bold but not bitter.  Great way to start the morning!
286,"I'm always careful what I eat or drink, since I have food allergies.  I'm also allergic to chemicals.  I bought a bottle of this as part of my nutrition regimen.  As soon as I took the first sip, I had to stop drinking.  It left me with the metallic taste everybody's talking about.  My mouth immediately felt very dry and my lips and inside of the mouth started to swell up.  I wasted my money.  Will never buy again."
287,"Love this! I use it on french toast, pancakes, waffles, and some cereals. I also use it in my tea and smoothies. However, I have not baked with it yet. I could say I would be sad and lost without it. BTW...My kids love it too."
288,"Love, love this item.  I bought the regular and chocolate and enjoy them both.  I mix mine equal parts powder a<br />& water and it is perfect on crackers, as a dipper or just off the spoon for a quick protein rich, low fat snack.<br /><br />I have also used it in protein shakes and diped raw apple and pear slices right into the powder too!<br /><br />Yum.<br />Try it!"
289,My dogs love this product.  It is a fine heathy treat which I give them as a reward.  It's also easy to break so that little dogs can enjoy them as well.
290,These syrups are so versitle that you can use them in desserts dishes and teas and coffees. Thanks so much!
291,I bought this for my daughter and she was very excited to taste it but was very disappointed to find it to be INSTANT cappuccino. It tasted watered down even at the suggested cup setting. We honestly could have got a container of this same stuff at the local dollar store for a lot cheaper and then we could have added more of the powder when needed. Definitely not worth the money.
292,I'm in HOG HEAVEN now. I can cook all kinds of really delicious stuff now using Bisquick. I've never been this happy in a long time! Great product... Great price... Packed up real nice for shipping. I couldn't be any happier. The website listed on the package leads me to many recipes that I can make using Bisquick.
293,My dog loves chewing on the wishbone.  The product was what I expected and the shipping was quick!
294,I got the Lickety Stik through the Vine Program.  I was a little skeptical upon ordering.  I have two dogs that both need daily medications and they also get vitamins.  It was always a battle to get them to take either and had to revert to the shove down the throat and blow on the nose tactic.  That is until now.  Put a little of this stuff on whatever they need to take and wham gone down the throat.  It took about a week and then I stopped using it and the dogs now take their pills without any treatment.  Highly recommend and made my life a little easier.
295,"I've tried numerous coconut oils and I must say I really like this one.<br />It smells so delicious when you open the jar.<br />I enjoy it so much I usually eat 2 Tbsp a day like some people eat peanut butter. If your way of eating is low carbing this product fits the bill and it's so healthy . I also enjoy making a ""candy"" treat with it.<br /><br />1 Tbsp chopped nuts i.e. walnuts, almonds or pecans in a small cupcake paper or aluminum baking cup.  Add 2 tbsp of melted coconut oil  on top of the chopped nuts.<br />Sprinkle 1 tsp of coconut flakes on top.<br />Let it harden in the fridge then it's ready to enjoy.<br />Add a cherry on top when in season, grated orange rinds, strawberry halved...<br />Use your imagination...<br />~Enjoy, Sooo Goood<br /><br />Update: 8/7/2012<br />Don't remember how many times I've ordered this coconut oil but today's another time.<br />Recently, I saw a recipe for Paleo Coleslaw. If you need a change in taste from coleslaw made with mayonnaise then try this one. I really like it because it seems to taste like Asian Coleslaw, sadly, my better half doesn't like it. I even have it with breakfast sometimes.<br /><br />Paleo Coconut Coleslaw<br /><br />This recipe comes from grassfedgirl.com<br /><br />Ingredients:<br /><br />½ head organic red cabbage<br />½ head organic green cabbage<br />1 medium carrot<br />1/2 cup organic apple cider vinegar<br />1/2 cup melted Virgin Coconut Oil<br />2-4 packets Stevia or 2 T raw honey<br />1 tsp celery seed<br />1 sea salt and pepper to taste"
296,"The peanut butter and honey ones are like a candy bar, as state previously.  I can't resist them sometimes when I'm not even working out.  They're delicious.<br />Plus, the company is a really great, which is a bonus.<br />AND I can pronounce and recognize all the ingredients on the back of the bar.<br />Not the most carbs, not the most protein, but it's a good all around training bar....<br /><br />...or a delicious afternoon snack!"
297,"My kids have been asking for some quick fix mac 'n cheese, and I bought this.  The kids have been eating it, but they say that there is a slightly weird aftertaste.  When prepared following the directions, the noodles sometimes aren't quite cooked, and the water ratio isn't quite right --- sometimes ending up with inadequate water to make the sauce. Perhaps that's my microwave, but I haven't noticed this problem with other foods.  The powder sauce packet doesn't mix well even with the hot bits of water, leaving clumps.  The pluses --- quick to make, kids will eat it (sometimes), portions are small -- perfect for a preschooler, requires no milk or added oil.  We are satisfied for the amount we paid, but not likely to purchase again, unless there is a promotion or sale."
298,"I used this product for many years. I favored Imagine for high quality ingredients, excellent flavor, reasonable price, and wide availability. I find milk and soy products cause digestive distress, rice beverages have no such effect, no cholesterol, very little fat, and taste great. The chocolate flavor of this drink is terrific- sweet and chocolaty, totally delicious, and I drank this every day for decades.<br /><br />However, Imagine now uses the cheaper canola oil in their rice milk products. Canola oil contains erucic acid, a toxic chemical. The FDA has limited canola oil to no more than 2% erucic acid to protect our health, and do not allow it in infant formula. In addition, studies show the erucic acid it contains is toxic (see below). I have not been able to find any long term longitudinal controlled studies on humans to prove its safety as far as all the adversely affected organs.<br /><br />Good Karma Whole Grains Ricemilk is organic and also canola and sugar free. It has a thicker, richer and creamier body and flavor, less watered down. The vanilla flavor is a delicious drink, it tastes more like fresh whole milk straight out of the cow (if you have had that) than what is sold in cartons in the US. Westsoy Rice Beverage has similar consistency to Rice Dream, but is canola free. I find it to be less sweet, less chalky, and more milk-like in flavor.<br /><br />The same canola issue (as well as sugar) also applies to the Imagine frozen desert products.<br /><br />Because there have been Internet rumors about Canola that are based on misinformation, I provide some citations of scientific papers and government publications. Studies on erucic acid in rats and piglets show heart lesions, decreased red blood cell count, and other tissue and organ damage. Erucic acid crosses the blood-brain barrier and is known to affect nerve cells. It's not safe for infants. Check out this small sample of government and peer-reviewed medical journal articles documenting my statements, available online.<br /><br />United States Legislation on Low Erucic Acid Rapeseed Oil, Federal Department of Agriculture, 1985, article 184.1555, sections 3 and 4.<br />Growth Rate, Lipid Composition, Metabolism and Myocardial Lesions of Rats Fed Rapeseed Oils J. K. G. Kramer et al., The Journal of Nutrition, 103 (12):1696-1708, December 1973.<br />Dietary factors affecting the incidence of dietary fat-induced myocardial lesions. Clandinin MT, Yamashiro S., J Nutr. 1982 Apr;112(4):825-828.<br />Nutritional characteristics and food uses of vegetable oils, R.O. Vles and J.J. Gottenbos; In: G. Robblen, R.K. Downey and A. Ashri, Editors, Oil crops of the world, McGraw Hill, New York, USA (1989), pp. 36-86.<br />ERUCIC ACID IN FOOD: A Toxicological Review and Risk Assessment, TECHNICAL REPORT SERIES NO. 21, FOOD STANDARDS AUSTRALIA NEW ZEALAND, June 2003.<br />Uptake and metabolism of plasma-derived erucic acid by rat brain, Mikhail Y. Golovko and Eric J. Murphy, The Journal of Lipid Research, 47, 1289-1297, June 2006."
299,All I can say is that our two dogs love these things almost more than anything else. They each get one a day and very much look forward to that special time. These long lasting treats are well worth the money for us.
300,It's really stronge but if you combine it with the right foods it taste excellent.. Don't laugh I've found it taste very good with rice..
301,"This was my first purchase of any kind of green superfood drink. It doesn't taste great without fruits or juice. I purchased the green tea energy flavor from Amazing grass and it tasted better with or without juices or fruits. The two orders i placed from one of the amazon sellers, had an expiration date of 2 months from the date i received it... I placed my next order directly from Amazing grass and the expiration date was over a year."
302,"My wife used to drink this coffee, but now we both agree that Coffee People's Kona Blend is the right coffee for both of us."
303,This is an excellent green tea. I enjoy this brand and one from Biglow.<br /><br />I would recommend this tea to anyone who likes green tea. And it is organic for those of you who are into that stuff.
304,"I had high hopes for this wine kit, but after fermenting, bottling and aging for several months, I'm left with 30 bottles of sour wine.  I think this may have been a sanitation issue on my part.  Had the wine not turned sour, I think it would have been pretty good (from a pre-fermentation taste).  I may try this one again in the future.  One thing that I did like about this kit was that it included labels and heat shrink / foil wrappers for the tops of the bottles."
305,I ordered this product assuming that I would recieve what was pictured. What I got was a generic package with a generic label. The tea bags had the paper tag found on teabag strings all torn off. So I really have no idea what kind of tea product I recieved.
306,This cocoa is extremely hard to find and it's my mom's favorite.  I am so excited to be able to subscribe to a monthly delivery for her.  What a super idea!!!
307,These are the best candy bars EVER!  Why don't they have something similar here in the U.S.??  They are light and low in calories compared to other candy bars in the U.S.!  Yumm!!
308,"TIGER SAUCE IS THE BEST HOT SAUCE YOU CAN BUY IN THE USA!  (NO, I'M NOT YELLING.  This isn't yelling.  Am I yelling?  Why are you starting a fight with me?  I'm not YELLING.  This is ""discussing.""  Yeah, fine, go back to your mama.  See if I care.)"
309,"If Goldilocks were sampling popcorn, most are too boring, a few are a little too spicy, but Orville's Salt and Cracked Pepper popcorn has just the right amount of zing.  The mini bags are the right amount of popcorn for one person.  The price is good, and Amazon delivered it even sooner than I had expected.  Check it out."
310,"I was looking forward to this tea, but unfortunately the mint overpowers the hibiscus and essentially makes this just another kind of mint tea.  I prefer the hibiscus tart be the star of the show in a hibiscus-based tea (aka ""herbal infusion"") and in my opinion, mint and ""tropical"" don't mix and now know going forward to pay more attention to the ingredients.  Still worth 3 stars because it can be a refreshing tea on a hot day, but just not a great tropical/hibiscus tea."
311,"Same Splenda taste, but more than just aspartame. Fiber is dissolved well and has quite and effect (at least you know it works). Best fiber additive and sugar replacement found yet, just be sure to mix well in enough liquid or the powder may become slightly viscous, this only happens in very small amounts though. Otherwise excellent product."
312,"I was hesitant about ordering this the first time, but was surprised at how good it tastes. It has a true black tea flavor with just the right amount of lemon. I used it up quickly and have reordered it. Occasionally, I add a little sweetener but most people probably wouldn't feel the need to do so."
313,"These potato chips are excellent.There are no trans fats.<br /><br />They taste absolutely delicious.Whenever I am in the mood for potatoe chips, Kettles is the brand I buy.<br /><br />A great product that anyone should enjoy and I highly recommend them!<br /><br />Enjoy!"
314,"<span class=""tiny""> Length:: 3:35 Mins<br /><br /></span>When I first reviewed this, I gave it four stars (I'm a hesitant five-star giver), but having now used it for two weeks, it gets the fully approved 5-star love."
315,"I was a little skeptical at first but this honey got rid of a chronic skin rash that plagued me for months.It took about 2 weeks for it to completely disappear and when it flares up now I put the honey on it immediately and it usually prevents it from spreading. It's a little sticky but I rub it in as much as possible. After trying steroid creams and every thing else under the sun, I could not believe that manuka honey could solve this problem. Fantastic!"
316,"I enjoyed this product.  I am trying to use more gluten-free products when ever I can.  I had made this with Gluten-free flour, water, italian seasoning, salt.  Which I then dropped onto a greased cookie sheet - I spread the drops out (thinned them out) cooked them at 425^ for approx 10 or so min, flipped them, cooked them a few min longer - it made like a cracker.  My husband even enjoyed them.<br />From the other reviews - I did notice the ""flavor"" that was mentioned, but if you add spices or seasonings then it is not noticeable."
317,"Received the rectangular box quickly. The plant was about 6"" tall. Nice green stem. Leaves look burned or black. Portion of stem appears to have suffered a small fracture. I chopped it all off. Re-planted in a larger pot and now I have a 3"" green stem. I don't know, time will tell. I wasn't expecting much for the price. It's worth a shot."
318,I tried this wine once on a whim for something different. I've always been more a fan of red wine in general and the traditional Lambrusco red is a staple at our house...but I fell in love with this the first time I sipped it...it is slightly sweet but not overpoweringly sweet...goes wondeful with just about anything. If you like Lambrusco red you should definately try White Lambrusco.
319,"The presence of cinnamon makes the chips softer and kind of soggy. The taste is good and cinnamon is good addition, but I perfer the crisp non-cinnamon version."
320,My cats love the food. The food is formed in the shape of the pouch so I do chop it up with fork to make it easier for them. The food looks and smells like fish. They like the snapper the best. Not to much moisture that had one cat throw up. No more wasted food. They eat it all. I wish it came all snapper but they probably like variety.  Price beats local stores. I buy the auto. delivery method and it saves even more. With auto ship the following deliveries come USPS.  They do notify of up coming shipmnt and you can postpone if need be. You can also get an early one.
321,"I love this bar and eat it every day, it's very healthy and  tastes great but it's priced twice as much what I paid at local supermarket."
322,"It is so frustrating for me looking for real lemon curd. This stuff actually has a good smell to it but it is the same gelatinous mush that I see time and time again; it is not creamy at all. I read another review saying how a little goes a long way, that is a red flag. Real lemon curd is creamy and doesn't go a long way because it is fluffier."
323,"I tried this water and it tasted just ""normal"" to me. Not silky or special or anything.<br /><br />I gave my cats two bowls of water, each with 16 oz of water, one the Essentia and one of just tap water. I saw them drink out of both bowls and water disappeared from both bowls at the same rate.<br /><br />I looked up the pH of my local tap water and it tests between 6.7 and 9.7 pH with an average of 8.6, not so different from this bottle of water but a heck of a lot cheaper.<br /><br />It really seems to me like somewhere around the early 1990s we were all duped into buying bottled water. Some water isn't safe to drink and so it's good that we can get bottled water at times, but it somehow became a status symbol and then a necessity. Now people are either realizing maybe it's dumb to buy bottled water when the bottled water industry isn't even as well regulated as tap water, or moving on to other beverages as ""plain"" water is starting to seem a little boring, so what do the people who sell water do to sell more product? They make it fancier, with caffeine or gathered in glacial melt and harvested from the deep sea, or, it seems, with a high pH.<br /><br />There are all kinds of health claims made about high pH water, but as far as I know there aren't any reputable, scientific studies that back up any of the claims. If there were, I'm sure Essentia would be shouting those claims from the rooftops to sell their product.<br /><br />If you really believe you need water with a pH of 9.5, maybe research what the tap water in your area already is, and if it's not high enough for you there are many options for water ionizers you can purchase in all price ranges."
324,"I can have this shipped to my door cheaper than I can buy it in any store, can't beat that!"
325,"I really like these ""suet peanut balls"", as I call them.  The birds love them too!. I have to tell you though, if you have squirrels, you will certainly want to invest in the ""Squirrel Buster"" feeder (see link below).  I used to use a ""regular"" metal cylinder feeder (like shown on the bag of this item) for the ""suet peanut balls"", but somehow or the other, the squirrels could still get them out of the feeder!  It used to drive me crazy!  I have another Squirrel Buster seed feeder that I really love, and when I saw that they had a new ""suet peanut ball"" feeder, I just had to try it. . .and. . . it works!  I live in downtown Atlanta, and woodpeckers, catbirds, finches and other assorted birds all love these ""suet peanut balls"". . .  and don't worry. . . they don't melt either.<br /><br /><a href=""http://www.amazon.com/gp/product/B0061O2O8K"">Squirrel Buster Peanut Plus Wild Bird Feeder</a>"
326,"Saw this is the local market, figured for $7 I could get a 12 pack and give these an inexpensive trial.  I just threw away the 9 we didn't use.  for $7 I could have bought 2 boxes of hot chocolate packets and happily boiled the water.  did I even have to give it one star...?"
327,"I tried Crunchy Nut about a year ago when I was visiting the UK. It was absolutely one of the best cereals I had ever had. When I saw it on Amazon, I had to try it to see if it was as good as it remembered. It is!<br /><br />The brand I tried when I was in the UK was more like corn flakes and this one is more like cheerios. I was pleasantly surprised that this was not as sweet as I remember from the flakes brand. I liked the crunch this cereal had and it never got soggy in the six or so minutes it took me to eat a bowl.<br /><br />At 100 calories for 3/4 of a cup, it would seem this cereal delivers taste as well as not hiking up you calorie intake for the day. Now I am no nutritionist so I would advise looking up all its ingredients for things that may not agree with everyone.<br /><br />All in all, I enjoyed this cereal and would not hesitate to get myself another box."
328,"This tastes much better than the ""warm milk"" you get from the various coffee houses like Starbucks."
329,"In my opinion, this is the perfect flavor combination.  It's a great ""sweet treat"" and I would definitely buy this item again."
330,"This is a smooth not bitter coffee. It's a little more pricey than some which are just as good, but it has a good sweet flavor, and I can recommend it."
331,"These peppercorns were visibly of much better quality than we'd gotten other places before, and the aroma was tantalizing before we even opened the package!  They arrived fresher than I've ever tasted peppercorns in my life, and the seller is very professional and quick with shipment.  Highly recommended!"
332,I love green mountain coffee! I've tried other hazelnut k-cups and this is by far my favorite hazelnut coffee for my keurig.
333,"The roast was very good, however I would prefer if it did<br />not come seasoned.  It was very good though."
334,"These cookies were AWFUL!  Really bad.  My co-worker and I each bit into one and we couldn't finish it.  I tried one a week or so later when I was really hungry and it was still terrible.  Not only do they not taste good, but instead of being bland, they actually taste BAD and leave a horrible aftertaste.  I buy a lot of Gluten Free products and almost everything is really good but this was far from it."
335,"This was pretty good, I had to add abit more broccoli and very well seasoned chicken as well as tad bit more cheese....It was ok I have had better but its fine for the occassional quick meal."
336,"We received the Gerber veggies quickly, on time, and in great condition! And my son LOVES this stuff - the consistency is perfect, it is nutritious, and it tastes great!"
337,"It holds the beans.  It's sturdy.  It's well constructed.  It's also undersized, and it crushes the beans."
338,"This tea is excellent. I've tried the zen in black, and  the jade tea, and both are absolutely delicious. The pods can be used the traditional way....you don't need the special brewer. Just get our your tea kettle and your favorite tea cup, and voila!"
339,"I am always searching for low sodium bbq for the family and my in laws are raving about this one!  Easy to prepare and just the right flavor for adding zest to a dinner.  So good , it put me in the will again!  lol"
340,"Orijen dry dog food is relatively new to me, (approx. 8 months) but not only does my German Shepherd love it..right out of the bag..but I always taste a sample myself! (Not something I would normally do with just any dog food). You'll find after opening the sturdy bag, the aroma of the Orijen dog food catches your sense of smell like a freshly brewed cup of coffee, or a piece of your favorite meat or fish.  I usually buy the blue bag of free-run chichen and fish product because I find it contains the most appropriate ingredients for my German Shepherd. When the box of food is delivered, she is immediately scratching the box to help me open it..she knows it's for her and can't wait to get her teeth into it. LORI, Phila."
341,"I purchased this product both for my dog and my daughters dog and it gave them both extreme diarrhea, explosive poor pups couldn't even make it out of the house. VERY embarrassed dogs!!! Both dogs suffered from this product.  We administered the exact amount for the weight of each dog.  They both LOVE their Greenies so I was shocked with this reaction."
342,It has come to my attention that coconut product sweetened with sugar actually has fewer calories than the unsweetened product. Anyone know why? It seems only logical that sugar sweetened coconut would have more calories.
343,Very nice product.  It was fresh and in date and shipped quickly.  Thanks.
344,"Great coffee. I love this k-cup flavor. Delicious full bodied coffee for bold coffee lovers, doesn't disappoint. I always buy in bulk, because the price per cup decreases, but also because I KNOW I'm going to drink a lot. Love this coffee!"
345,"Currently we use only Pedigree Puppy dinner's and products, it's my number one choice, the puppies love this product, it provide, excellent nutritional value, and has never been on the list of recalled products to date. Pedigree web site is always happy to send you any information you ask of them concerning a product they sell. They will also keep you informed, if by chance there is any problem with their products, simply visit the site, and request product updates. Highly reccomend, and have used Pedigree, for more than 20 years."
346,You just can't buy muesli like this in the USA at a local store!  This shipped very quickly and the cereal is wonderful.  Thanks for providing such great service.
347,"Good products<br />Love Diet Energy 5/5 and Diet Root Beer 5/5<br /><br />a couple stinkers -<br />Diet Fountain Mist (Mountain Dew-like, tart fake flavor) 1/5<br />Diet Dr. Pete (Weak flavor, not bold like Dr. Pepper) 3/5<br /><br />Amazon - Do better on price! This is 5.99 to 6.99 in the stores (you are charging double)<br />Sodastream - Reformulate these two!"
348,"I really love raisins and always keep a large box in the pantry; this probably explains my disappointment with Kellogg's Raisin Bran Crunch Cereal, it doesn't have enough raisins to suit me. I have found other brands of crunchy raisin bran cereal that have a lot more raisins. Kellogg's advantage is its wide availability; you can find it at most stores.<br /><br />The obvious solution is to add some raisins out of my raisin box to the cereal which is exactly what I do. I'm always a little disappointed when I have to do that.<br /><br />I have found the sweetness to be just right for me and enjoy the cereal right down to the bottom of the bowl. I also enjoy adding almonds to the cereal or even a banana. This is a favorite of my mine for supper and I enjoy it several times a week."
349,This store was very easy to deal with my item was in stock and shipped as promised with no delays.  I was very happy that they carry the beans and had them in stock at a fair price.
350,"I ordered the Original Blend of Dunkin Donuts and received a hazelnut flavored version.  In addition, I was charged 18.00 each for 12 oz packages.  The local market charges 9.00 each.  I don't want the hassel involved in returning this order, but I won't order food items from Amazon again, EVER!"
351,My dog and foster dogs have done well on this food. It is the best priced quality grain free food there is to my knowledge. Amazon's price beats my local stores (including Petco when you factor in the sales tax I pay when I buy in the store). As an Amazon prime customer I was thrilled to see this included in free 2 day shipping- absolutely can't beat this deal!<br />Amazon shipped it in a cardboard box about the same size as the bag and it arrived with the box looking quite the worse for wear. Since Wellness comes in a Mylar bag the bag itself was fine and I was home so brought it right in. If you were  not going to be home when this was delivered and your deliveries are left outside I would be concerned about other animals getting to it. Even with the Mylar bag my dog can rip into this in no time flat and racoons and rats (I live next to a wooded area!) love dog food! Probably not a big deal mid-day but just something to consider. I would not buy food that ships in a paper bag from Amazon- at least not a larger bag (>15lbs) but that is just my experience/opinion. I am thrilled that amazon offers this and would order again from them but will make sure I am home when it is to be delivered.
352,"One of my cats is 17 years old and I rescued her from the outdoors.  She had a rough life before I had her.  Over the years I've fed her premium brands and a few regular brands.  I tried this food after I first saw the commercial and I've never had to switch to any other since.  I like this food because all 3 of my cats like it and they don't have any sensitivities to it.  The bottom line is that I'm certain there are many brands on the market that may have only natural ingredients in them.  But I think all food has to have some preservatives in them so they are able to be packaged for sale in dry form.  So how can even the purest foods with preservatives in them really be any better than this one?  I don't feel as though I'm shortening my cats' life span feeding them this brand.  Hey, 17 years and still kickin' is enough proof to me.  I give The Goodlife Recipe two thumbs up!!"
